FAMILLE_MATIERE,LIBELLE_COURT,LIBELLE_LONG,ID
60,ACT HIP,ACTIVITES HIPPIQUES ,61
61,COMMERCE,COMMERCIALISATION,62
62,ANIMAUX,ELEVAGE ET SOINS AUX ANIMAUX,63
63,ENV ESPACE,ENVIRONNEMENT - AMENAGEMENT DE L'ESPACE,64
64,EQUIP AGRI,EQUIPEMENTS POUR L'AGRICULTURE ,65
66,PRODUCTION,PRODUCTION,66
67,SERVICES,SERVICES ,67
68,TRANSFO,TRANSFORMATION ,68
69,GEN AGRI,DISCIPLINES GEN. ENSEIGNEMENT AGRICOLE,69
0,ACTIV DIV,ACTIVITES NON SPECIALISEES,1
1,PHILO SHU,PHILOSOPHIE SCIENCES HUMAINES,2
2,LETTRES,LETTRES,3
3,LV,LANGUES VIVANTES,4
4,HIST GEO,HISTOIRE GEOGRAPHIE,5
5,SC ECO SOC,SCIENCES ECONOMIQUES ET SOCIALES,6
6,SCIENCES,SCIENCES,7
7,TECHNO,TECHNOLOGIE,8
8,EDUC MUSIC,EDUCATION MUSICALE,9
9,ARTS PLAST,ARTS PLASTIQUES,10
10,EPS,EDUCATION PHYSIQUE ET SPORTIVE,11
11,BOIS,GENIE INDUSTRIEL DU BOIS,12
12,TEXT CUIR,GENIE INDUSTRIEL TEXTILE ET CUIR,13
13,VERR CERAM,GENIE INDUSTRIEL VERRE CERAMIQUE,14
14,STRUC META,GENIE STRUCTURES METALLIQUES,15
15,PLASTIQ,GENIE INDUSTRIEL PLASTIQUES COMPOSITES,16
16,CHIMIE,GENIE CHIMIQUE,17
17,BTP,GENIE CIVIL,18
18,THERMIQ,GENIE THERMIQUE,19
19,MECA CONST,GENIE MECANIQUE DE LA CONSTRUCTION,20
20,PRODUCTIQ,GENIE MECANIQUE DE LA PRODUCTIQUE,21
21,MAINTENANC,GENIE MECANIQUE DE LA MAINTENANCE,22
22,EL ELECTRO,GENIE ELECTRIQUE ELECTRONIQUE,23
23,ELECTROTEC,GENIE ELECTRIQUE ELECTROTECHNIQUE,24
24,EL INFORMA,GENIE ELECTRIQUE INFORMAT.- TELEMATIQUE,25
25,IND GRAPH,INDUST. GRAPHIQUES (IMPRIMERIE - LIVRE),26
26,TRANSPORT,"CONDUITE, NAVIGATION",27
27,ARTS APPLI,METIERS DES ARTS APPLIQUES,28
28,METIER ART,METIERS D'ART,29
29,ARTISANAT,METIERS DE L'ARTISANAT ET SPECIFIQUES,30
30,BIOL BIOCH,BIOTECHNOLOGIE GENIE BIOL.- BIOCHIMIQUE,31
31,BIO SANTE,BIOTECHNOLOGIE SANTE ENVIR.COLLECTIVITES,32
32,SANTE,PARAMEDICAL ET MEDICAL,33
33,SOINS PERS,SOINS PERSONNELS,34
34,COMMERCE,COMMERCE,35
35,BUREAUTIQ,BUREAUTIQUE ET SECRETARIAT,36
36,JURIDIQ,DROIT ET LEGISLATION,37
37,INFOR GEST,INFORMATIQUE DE GESTION,38
38,ECONOMIE,ECONOMIE,39
39,COMPTA FIN,"COMPTABILITE, FINANCES",40
40,HOTEL TOUR,"HOTELLERIE, TOURISME",41
41,COMMUNICAT,COMMUNICATION,42
42,ASSURANCES,ASSURANCES,43
43,GEST ENTR,GESTION DES ENTREPRISES,44
44,PUBLICITE,PUBLICITE,45
90,ENS RELIG,ENSEIGNEMENT RELIGIEUX,46
50,LANG TECH,LANGUE TECHNIQUE,47
99,SANS OBJET,SANS OBJET,48
