TYPE_UAI;LIBELLE_COURT;LIBELLE_LONG;DATE_OUVERTURE;DATE_FERMETURE;DATE_INTERVENTION;NUMERO_COMPTE;GESTION_DIFFUSION;ID;CREATED_AT;UPDATED_AT;N_COMMENTAIRE
LYC;LYCEE;LYCEE;;;03/05/1996;BCNAG;12;1;;;
EREA;EREA;ECOLE REGIONALE DU SECOND DEGRE;;;03/05/1996;BCNAG;12;2;;;
LP;LP;LYCEE PROFESSIONNEL;;;03/05/1996;BCNAG;12;3;;;
CLG;COLLEGE;COLLEGE;;;03/05/1996;BCNAG;12;4;;;
EXP;ETAB EXP.;ETABLISSEMENT EXPERIMENTAL DU 2D DEGRE;01/07/1994;;03/05/1996;BCNAG;12;5;;;
SGT;SGT;SECTION GENERALE ET TECHNO EN LP;01/06/1993;;03/05/1996;BCNAG;12;6;;;
SEP;SEP;SECTION PROFESSIONNELLE EN LYCEE;01/06/1993;;03/05/1996;BCNAG;12;7;;;
SET;SET;SECTION TECHNOLOGIQUE DE COLLEGE;01/06/1993;;03/05/1996;BCNAG;12;8;;;
SES;SES;SECTION D EDUCATION SPECIALISEE;;;03/05/1996;BCNAG;12;9;;;
CFPA;CFPA;CTRE FORMATION PROFESSIONNELLE AGRICOLE;;;03/05/1996;BCNAG;12;10;;;
1ORD;ECOLE 1D;ECOLE DU 1ER DEGRE ORDINAIRE;;;19/12/2005;BCNSPN;12;11;;;
SPEC;SPECIALISE;ECOLE DU 1ER DEGRE SPECIALISEE;;;03/05/1996;BCNAG;12;12;;;
APPL;APPLICATIO;ECOLE D APPLICATION DU 1ER DEGRE;;;03/05/1996;BCNAG;12;13;;;
ERPD;EC REG 1D;ECOLE REGIONALE DU 1ER DEGRE;;;03/05/1996;BCNAG;12;14;;;
SSEF;EC.SS.EFF;ECOLE SANS EFFECTIFS PERMANENTS;;;03/05/1996;BCNAG;12;15;;;
HOSP;HOPITAL;ETAB POUR ENFANTS MALADES;;;03/05/1996;BCNAG;12;16;;;
AIDE;SERV.AIDE;AUTRE SERVICE D AIDE MEDICO-SOCIALE;;;03/05/1996;BCNAG;12;17;;;
SOC;SOCIAL;ETABLISSEMENT SOCIO EDUCATIF;;;03/05/1996;BCNAG;12;18;;;
CFA;CFA;CENTRE DE FORMATION D APPRENTIS;;;03/05/1996;BCNAG;12;19;;;
CONT;FORM.CONT;FORMATION CONTINUE OU INTERNIVEAUX;;;03/05/1996;BCNAG;12;20;;;
ING;INGENIEURS;ECOLES D INGENIEURS;;;03/05/1996;BCNAG;12;21;;;
PBAC;A.POSTBAC;AUTRES ECOLES POSTBAC NON UNIVERSITAIRES;;;03/05/1996;BCNAG;12;22;;;
ADLE;ADM CENTRA;ADMINISTRATION CENTRALE 06 38 16 32;;;03/05/1996;BCNAG;12;23;;;
CSAV;CS SAVANTS;CORPS SAVANTS ET ETAB SS ENSEIGNEMENT;;;03/05/1996;BCNAG;12;24;;;
RECH;RECHERCHE;ETABLISSEMENTS DE RECHERCHE;;;03/05/1996;BCNAG;12;25;;;
SERV;SERV COM;SERVICES COMMUNS DES UNIVERSITES;;;03/05/1996;BCNAG;12;26;;;
UNIV;UNIVERSITE;UNIVERSITE ET INP HORS ECOLES INGENIEURS;;;03/05/1996;BCNAG;12;27;;;
****;QQSOIT TYP;QUEL QUE SOIT LE TYPE D UAI;;;27/02/2002;BCNSPN;00;28;;;
9999;SS CORRESP;SANS CORRESPONDANCE;;;01/04/2005;BCNAG;12;29;;;
IEN;IEN;CIRCONSCRIPTION INSPECTION EDUC NAT;;;03/05/1996;BCNAG;12;30;;;
JS;JS;JEUNESSE ET SPORTS;;;03/05/1996;BCNAG;12;31;;;
CDP;RECH DOC;CEREQ/CNDP/CRDP/CDDP/INRP/CIEP;;;03/05/1996;BCNAG;12;32;;;
ONIS;ONISEP;ONISEP/DRONISEP;;;03/05/1996;BCNAG;12;33;;;
CDES;CDES;CDES/CCPS/CCSD/MDPH;;;16/03/2006;BCNSPN2;12;34;;;
OUS;OUS;OEUVRES UNIVERSITAIRES;;;03/05/1996;BCNAG;12;35;;;
RECT;RECTORAT;RECTORAT ET SERVICES RECTORAUX;;;03/05/1996;BCNAG;12;36;;;
IA;IA;INSPECTION ACADEMIQUE ET SERVICES;;;03/05/1996;BCNAG;12;37;;;
PRSU;FAC PRIVEE;ETAB PRIVE D ENSEIGNT UNIVERSITAIRE;;;03/05/1996;BCNAG;12;38;;;
IUFM;IUFM;INSTITUT DE FORMATION DES MAITRES;;;03/05/1996;BCNAG;12;39;;;
EMOP;EMOP;SERVICES MUTUALISES ENTRE ETABLISSEMENTS;;30/06/2002;04/07/2002;BCNSPN;12;40;;;
DIV;DIVERS;ETABLISSEMENTS DIVERS (FOYERS, CENTRES);;;16/09/2004;BCNSPN;12;41;;;
GRET;GRETA;GROUPT ETAB PR FORMATION CONTINUE;;;03/05/1996;BCNAG;12;42;;;
CNED;CNED;CENTRE D ENSEIGNEMENT A DISTANCE;;;02/11/1998;BCNRNE1;12;43;;;
EUR;EC EUROPE;ECOLES EUROPEENNES;17/01/1996;;02/11/1998;BCNRNE1;12;44;;;
CFIS;CFIS;CTR FORM PROFESSEURS ECOLES SPECIALISES;17/01/1996;;03/05/1996;BCNAG;12;45;;;
EME;MEDICOEDUC;ETABLISSEMENT MEDICO-EDUCATIF;;;03/05/1996;BCNAG;12;46;;;
IO;CIO/SAIO;SERVICE ACAD ET CENTRES INFO ET ORIENTAT;;;03/05/1996;BCNAG;12;47;;;
TSGE;STS , CPGE;ECOLES COMPOSEES UNIQT DE STS ET OU CPGE;;;03/05/1996;BCNAG;12;48;;;
CNF;CFN 2D DEG;CENTRE FORM NAT ENSEIGNANTS 2D DEGRE;17/01/1996;;03/05/1996;BCNAG;12;49;;;
ADMH;ADM HORS E;ADMINISTRATION HORS EDUCATION;;;02/10/1998;BCNRNE1;12;50;;;
ETPU;ETAB PUB;ETABLISSEMENT PUBLIC HORS EDUCATION;;;;;12;51;;;
CORC;CORPS CONS;CORPS CONSTITUES;;;;;12;52;;;
ASSO;ASSOCIATIO;ASSOCIATIONS ET MUTUELLES;;;;;12;53;;;
ENTR;ENTREPRIS;ENTREPRISES;;;;;12;54;;;
ORGA;ORGANISME;ORGANISMES INTERNATIONAUX;;;;;12;55;;;
COLL;COLL TERR;COLLECTIVITES TERRITORIALES ET ETAB PUB;;;;;12;56;;;
BIBL;BIBLIOTH;BIBLIOTHEQUES NON UNIV ET MUSEES;;;;;12;57;;;
CHU;CHU;CENTRES HOSPITALO-UNIVERSITAIRES;;;;;12;58;;;
EFE;EFE;ECOLE FRANCAISE A L ETRANGER;20/07/2000;;20/07/2000;BCNSPN;12;59;;;
SMUT;SERV MUTU;SERVICE MUTUALISE ENTRE EPLE;;;01/07/2002;BCNSPN;12;60;;;
PRES;PRES;PÔLE RECHERCHE ET ENSEIGNEMENT SUPERIEUR;01/09/2006;;07/05/2007;BCNSPN7;12;61;;;
ETRA;ETAB ETRAN;ETABLISSEMENT FRANCAIS A L'ETRANGER;;;23/06/2011;BCNSPN8;12;84;23/06/2011;23/06/2011;
